Game Name,Rating,Plays
"Rogue Fable III,",96,4M
"Heart of Galaxy: Horizons,",89,1M
"Babel Tower,",81,958K
"WORLDS Builder: Farm & Craft,",82,585K
"Gragyriss, Captor of Princesses,",96,941K
"Waterworks!,",97,555K
"YORG.io 3,",85,298K
"Factions,",86,151K
"Electric City Manager,",78,129K
"YORG.io 3,",85,298K
"Feudalia,",76,133K
"Castle Woodwarf 2,",85,201K
"Village Defence,",73,165K
"The Final Earth 2,",97,517K
"Alliance Reborn,",67,63K
"Lords of the Arena,",80,784K
"Cookin'Truck,",75,96K
"Void Tyrant,",,0
"Cute Army: A Cat Story,",83,53K
"Bellum: Stellae,",29,48K
"Maggot Diorama 2,",71,132K
"Wormania,",22,39K
"Rogue Fable III,",96,4M
"Star Trek Alien Domain: Incursion,",55,92K
"Gimme Potato,",80,80K
"Voxel Clicker,",89,604K
"The Lich Ruin,",42,44K
"Gragyriss, Captor of Princesses,",96,941K
"Spacedust Defender,",75,165K
"Heart of Galaxy: Horizons,",89,1M
"Total Darkness,",85,122K
"Stop the Darkness,",92,284K
"Artist Idle,",86,383K
"Praefectus,",63,122K
"Dragon: Fire & Fury,",50,68K
"YORG.io,",94,476K
"Fold Wars,",70,174K
"Super Loot Bros,",28,85K
"Halla,",83,293K
"War Clicks,",82,4M
"Dark Power,",69,300K
"Guild Quest,",83,2M
"Conflict of Nations: WW3,",77,633K
"God Awe-Full Clicker,",60,670K
"Redcliff Riots,",60,198K
"Mighty Party,",82,6M
"Battle for the Galaxy,",84,2M
"Transport Defender,",60,543K
"Sonny,",,0
"Call of War 1942,",83,978K
"Realm of Empires,",90,1M
"Monster Frontier,",73,268K
"CONGO,",45,197K
"Battle Gear Underground,",58,382K
"Human Vs Monster,",43,251K
"Alien World Domination,",41,222K
"Goodgame Empire,",68,332K
"Battle Pirates,",84,5M
"Hut Defense 2,",34,379K
"Battle Gear 2,",71,1M
"Monster Brawl,",60,462K
"Little Protector Planes,",62,518K
"Clan Wars 2 - Red Reign,",74,721K
"Project NOVA,",67,304K
"Arkandian Explorer,",79,479K
"Sift Heads Assault 3,",71,471K
"Fruit Defense,",59,694K
"Putt Base,",45,389K
"Hordes of Hordes,",68,751K
"Engage,",56,714K
"Cardian,",74,737K
"Warlords 2: Rise of Demons,",87,14M
"Fujitsu defender,",75,2M
"Nob War The Elves,",86,2M
"The Next Floor,",82,2M
"Sprouts Adventure,",62,290K
"The Great Siege,",83,2M
"Kingdomy,",53,881K
"Mushroom revolution,",77,843K
"Arachnid Wars,",62,622K
"Mushroom Farm Defender,",67,521K
"Battle Gear,",86,6M
"Armor Defence,",68,1M
"War and Beyond Deadly Strategies,",64,2M
"Oiligarchy,",86,1M
"Imperium,",81,2M
"Battleground States 2008,",71,1M
"Telepath Psy Arena,",66,605K
"Protector - Reclaiming the Throne,",84,1M
"Shore Siege,",80,916K
"Soviet Silo Defense,",77,1M
"Dark War Strategy Chapter 2,",58,966K
"Robot War Strategy,",57,887K
"JetBot,",53,95K
"Dark War Strategy Chapter 1,",65,517K
"Warlords,",90,9M
"Commando 2,",50,571K
"Battlegrounds,",77,779K
"Elemental Turret Defense,",54,353K
"VR Defender Y3k,",83,485K
"Tarnation,",69,332K
"Strategy Defense 4,",77,568K
"Hustler,",74,358K
"Strategy Defense 3,",82,931K
"Strategy Defense 2,",78,339K
"Bloons Tower Defense,",85,485K
"Battlegrounds 2,",85,1M
"Field Command Three,",74,288K
"Flash Empires,",71,731K
"Bot Arena 3,",88,1M
"Feudalism,",84,2M
"Mahjongg,",64,362K
"Battleships,",70,433K
"Flashcraft,",69,364K
"StarCraft FA 4,",57,222K
"StarCraft FA 3,",71,478K
"StarCraft FA 5,",66,379K
"Strategy Defense,",74,919K
